permission_code,name,description,frontend_status,frontend_location,notes
operations.attachments.read,Read Attachments,View and download document attachments,INTEGRATED,src/modules/resource/ResourceWorkbenchView.vue; src/components/data/DocumentAttachments.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
operations.attachments.create,Create Attachments,Upload document attachments,INTEGRATED,src/components/data/DocumentAttachments.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
operations.attachments.delete,Delete Attachments,Soft delete document attachments,INTEGRATED,src/components/data/DocumentAttachments.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
operations.notifications.read,Read Notifications,View operational notifications,INTEGRATED,src/config/navigation.ts; src/config/modules.ts; src/components/layout/AppTopbar.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
operations.notifications.update,Update Notifications,Read or dismiss operational notifications,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
operations.notifications.run,Run Notification Scan,Run notification scheduler manually,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
maintenance.stock_reconciliation.read,Read Stock Reconciliation,Inspect stock integrity differences,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
reports.audit.read,Read Audit Dashboard,View audit and API activity dashboard,INTEGRATED,src/modules/dashboard/DashboardView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_disposals.read,Read Asset Disposals,View asset disposal workflows,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_disposals.create,Create Asset Disposals,Create asset disposal request,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_disposals.submit,Submit Asset Disposals,Submit asset disposal for approval,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_disposals.approve,Approve Asset Disposals,Approve or reject asset disposal,INTEGRATED,src/config/navigation.ts; src/config/modules.ts; src/router/index.ts; src/modules/approvals/ApprovalsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_disposals.complete,Complete Asset Disposals,Complete approved disposal,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_losses.read,Read Asset Loss Cases,View asset loss workflows,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_losses.create,Create Asset Loss Cases,Report lost asset,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_losses.review,Review Asset Loss Cases,Investigate asset loss,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_losses.approve,Approve Asset Loss Cases,Approve or reject asset loss,INTEGRATED,src/config/navigation.ts; src/config/modules.ts; src/router/index.ts; src/modules/approvals/ApprovalsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_losses.recover,Recover Lost Assets,Return recovered asset to warehouse,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_losses.close,Close Asset Loss Cases,Close approved unrecovered loss,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_depreciation.read,Read Asset Depreciation,Calculate and report depreciation,INTEGRATED,src/config/navigation.ts; src/config/modules.ts; src/router/index.ts; src/modules/reports/ReportsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_depreciation.snapshot,Snapshot Asset Depreciation,Create depreciation snapshot,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_handovers.read,Read Asset Handovers,View and print handover documents,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_handovers.create,Create Asset Handovers,Create handover documents,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_handovers.sign,Sign Asset Handovers,Sign handover documents,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
maintenance.cost_reconciliation.read,Read Cost Reconciliation,"Melihat hasil rekonsiliasi antara saldo stok, saldo biaya, dan pergerakan biaya persediaan.",INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
maintenance.cost_reconciliation.run,Run Cost Reconciliation,"Menjalankan proses rekonsiliasi biaya persediaan untuk mendeteksi perbedaan saldo, nilai, dan pergerakan biaya.",INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.category_groups.create,Create Category Groups,Membuat data category group baru.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.category_groups.delete,Delete Category Groups,Menghapus atau melakukan soft delete data category group.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.category_groups.read,Read Category Groups,Melihat daftar dan detail category group.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.category_groups.update,Update Category Groups,Mengubah data category group.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
dashboard.read,Read Dashboard,Melihat dashboard dan ringkasan data aplikasi.,INTEGRATED,src/config/navigation.ts; src/router/index.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_adjustments.approve,Approve Stock Adjustments,Menyetujui pengajuan penyesuaian stok.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts; src/router/index.ts; src/modules/approvals/ApprovalsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_adjustments.create,Create Stock Adjustments,Membuat transaksi penyesuaian stok.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_adjustments.read,Read Stock Adjustments,Melihat daftar dan detail penyesuaian stok.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_adjustments.update,Update Stock Adjustments,Mengubah dan memproses transaksi penyesuaian stok.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_opnames.approve,Approve Stock Opnames,Menyetujui dan memproses hasil stock opname.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts; src/router/index.ts; src/modules/approvals/ApprovalsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_opnames.create,Create Stock Opnames,Membuat kegiatan stock opname.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_opnames.read,Read Stock Opnames,Melihat daftar dan detail stock opname.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_opnames.update,Update Stock Opnames,Mengubah dan memproses kegiatan stock opname.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
reports.inventory.read,Read Inventory Reports,"Melihat laporan stok, mutasi, pemakaian, dan distribusi inventory.",INTEGRATED,src/config/navigation.ts; src/router/index.ts; src/modules/reports/ReportsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.complaints.create,Create Complaints,Membuat laporan atau komplain transaksi kepada vendor.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.complaints.read,Read Complaints,Melihat daftar dan detail komplain transaksi.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.complaints.update,Update Complaints,Mengubah dan memproses penyelesaian komplain transaksi.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.delivery_orders.create,Create Delivery Orders,Membuat transaksi delivery order.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.delivery_orders.read,Read Delivery Orders,Melihat daftar dan detail delivery order.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.delivery_orders.update,Update Delivery Orders,Mengubah dan memproses transaksi delivery order.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.item_requests.approve,Approve Item Requests,Menyetujui atau menolak permintaan barang.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts; src/router/index.ts; src/modules/approvals/ApprovalsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.item_requests.create,Create Item Requests,Membuat permintaan barang.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.users.read,Read Users,Melihat daftar dan detail user,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
